## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 33800, Max: 64, Reward: 295.0, Eps: 0.010
Ep: 33900, Max: 256, Reward: -3505.0, Eps: 0.010
Ep: 34000, Max: 128, Reward: 447.0, Eps: 0.010
Ep: 34100, Max: 256, Reward: 123.0, Eps: 0.010
Ep: 34200, Max: 256, Reward: 642.0, Eps: 0.010
Ep: 34300, Max: 256, Reward: 981.0, Eps: 0.010
Ep: 34400, Max: 512, Reward: 734.0, Eps: 0.010
Ep: 34500, Max: 256, Reward: 913.0, Eps: 0.010
Ep: 34600, Max: 128, Reward: 548.0, Eps: 0.010
Ep: 34700, Max: 256, Reward: 31.0, Eps: 0.010
Ep: 34800, Max: 512, Reward: 1116.0, Eps: 0.010
Ep: 34900, Max: 128, Reward: 466.0, Eps: 0.010
Ep: 35000, Max: 32, Reward: 166.0, Eps: 0.010
Ep: 35100, Max: 256, Reward: 704.0, Eps: 0.010
Ep: 35200, Max: 256, Reward: 905.0, Eps: 0.010
Ep: 35300, Max: 512, Reward: 1570.0, Eps: 0.010
Ep: 35400, Max: 128, Reward: 480.0, Eps: 0.010
Ep: 35500, Max: 256, Reward: 171.0, Eps: 0.010
Ep: 35600, Max: 128, Reward: 543.0, Eps: 0.010
Ep: 35700, Max: 128, Reward: 347.0, Eps: 0.010
Ep: 35800, Max: 256, Reward: 369.0, Eps: 0.010
Ep: 35900, Max: 128, Reward: 525.0, Eps: 0.010
Ep: 36000, Max: 512, Reward: 1042.0, Eps: 0.010
Ep: 36100, Max: 128, Reward: 560.0, Eps: 0.010
Ep: 36200, Max: 256, Reward: 938.0, Eps: 0.010
Ep: 36300, Max: 256, Reward: 915.0, Eps: 0.010
Ep: 36400, Max: 256, Reward: 877.0, Eps: 0.010
Ep: 36500, Max: 512, Reward: 320.0, Eps: 0.010
Ep: 36600, Max: 256, Reward: 889.0, Eps: 0.010
Ep: 36700, Max: 256, Reward: 612.0, Eps: 0.010
Ep: 36800, Max: 512, Reward: 1640.0, Eps: 0.010
Ep: 36900, Max: 256, Reward: 888.0, Eps: 0.010
Ep: 37000, Max: 256, Reward: 271.0, Eps: 0.010
Ep: 37100, Max: 512, Reward: -845.0, Eps: 0.010
Ep: 37200, Max: 256, Reward: 853.0, Eps: 0.010
Ep: 37300, Max: 256, Reward: 727.0, Eps: 0.010
Ep: 37400, Max: 256, Reward: -2060.0, Eps: 0.010
Ep: 37500, Max: 512, Reward: 514.0, Eps: 0.010
Ep: 37600, Max: 128, Reward: 718.0, Eps: 0.010
Ep: 37700, Max: 128, Reward: 22.0, Eps: 0.010
Ep: 37800, Max: 256, Reward: 840.0, Eps: 0.010
Ep: 37900, Max: 128, Reward: 347.0, Eps: 0.010
Ep: 38000, Max: 128, Reward: 359.0, Eps: 0.010
Ep: 38100, Max: 128, Reward: 454.0, Eps: 0.010
Ep: 38200, Max: 256, Reward: 935.0, Eps: 0.010
Ep: 38300, Max: 128, Reward: 317.0, Eps: 0.010
Ep: 38400, Max: 256, Reward: -381.0, Eps: 0.010
Ep: 38500, Max: 256, Reward: -220.0, Eps: 0.010
Ep: 38600, Max: 512, Reward: -1819.0, Eps: 0.010
Ep: 38700, Max: 256, Reward: -1279.0, Eps: 0.010
Ep: 38800, Max: 128, Reward: 522.0, Eps: 0.010
Ep: 38900, Max: 512, Reward: 1054.0, Eps: 0.010
Ep: 39000, Max: 256, Reward: 245.0, Eps: 0.010
Ep: 39100, Max: 256, Reward: 843.0, Eps: 0.010
Ep: 39200, Max: 256, Reward: 599.0, Eps: 0.010
Ep: 39300, Max: 256, Reward: -213.0, Eps: 0.010
Ep: 39400, Max: 128, Reward: 48.0, Eps: 0.010
Ep: 39500, Max: 256, Reward: 67.0, Eps: 0.010
Ep: 39600, Max: 256, Reward: 668.0, Eps: 0.010
Ep: 39700, Max: 128, Reward: 490.0, Eps: 0.010
Ep: 39800, Max: 128, Reward: 631.0, Eps: 0.010
Ep: 39900, Max: 128, Reward: 508.0, Eps: 0.010
Ep: 40000, Max: 256, Reward: 767.0, Eps: 0.010
Ep: 40100, Max: 512, Reward: 1372.0, Eps: 0.010
Ep: 40200, Max: 512, Reward: 1559.0, Eps: 0.010
Ep: 40300, Max: 256, Reward: 133.0, Eps: 0.010
Ep: 40400, Max: 512, Reward: 1579.0, Eps: 0.010
Ep: 40500, Max: 256, Reward: 577.0, Eps: 0.010
Ep: 40600, Max: 128, Reward: 518.0, Eps: 0.010
Ep: 40700, Max: 128, Reward: -110.0, Eps: 0.010
Ep: 40800, Max: 512, Reward: -2860.0, Eps: 0.010
Ep: 40900, Max: 128, Reward: 48.0, Eps: 0.010
Ep: 41000, Max: 256, Reward: 970.0, Eps: 0.010
Ep: 41100, Max: 256, Reward: 742.0, Eps: 0.010
